track_id,track_name,artist_name,artist_id,hybrid_score,s_content,s_collab,w_content,w_collab,pre_score,from_content,from_tag,from_neighbor,long_term_sim,tag_cosine,mood_sim,cluster_tag_sim,tag_jaccard,group_listener_count,group_avg_ms,group_skip_rate,weighted_nbr_avg_ms,recent_skip_pct,recent_avg_valence,recent_avg_energy,valence_delta,energy_delta,tod_morning,tod_afternoon,tod_evening,tod_night,platform_mobile,platform_desktop,map_score,map_w_content,map_w_collab,ap_before,ap_after,map_tier,map_improved,like_sim,dislike_sim,feedback_score,feedback_applied
2560,Add Up My Love,Clairo,389,0.6449128805180191,0.6660689415512865,0.5602886363849497,0.8,0.2,0.7379333299536612,True,False,True,0.9479252704323448,0.5154685249837049,0.5670787450468134,0.6307273303862774,0.14285714285714285,2.0,205264.0,0.0,205264.0,0.7675,0.434,0.5920000000000001,0.336,0.027999999999999914,0,0,0,0,0,0,0.6131787889681182,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True,0.9813058293593272,0.8631299816377226,0.7349445414483718,True
2519,Juna,Clairo,389,0.6598585274421367,0.6956618555679066,0.5166452149390574,0.8,0.2,0.7460337817995735,True,False,False,0.9641261741241693,0.5154685249837049,0.5970365628744803,0.6307273303862774,0.14285714285714285,2.0,173599.27777777778,0.1111111111111111,195110.0,0.7675,0.434,0.5920000000000001,0.016000000000000014,0.11799999999999988,0,0,0,0,0,0,0.6061535352534819,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True,0.9728494679214539,0.8487446570129498,0.7282594442273281,True
2533,Terrapin,Clairo,389,0.6249883159771856,0.6474603448299414,0.5351002005661624,0.8,0.2,0.7382836489780291,True,False,False,0.9486259084810805,0.5154685249837049,0.5147615679100842,0.6307273303862774,0.14285714285714285,2.0,181064.8333333333,0.0,180290.0,0.7675,0.434,0.5920000000000001,0.035999999999999976,0.15200000000000008,0,0,0,0,0,0,0.591280272698052,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True,0.9328443404912583,0.7914305408370469,0.71284746667802,True
2523,Out of Me Head,Steve Lacy,1782,0.6224041772945792,0.6543782539253791,0.49450787077137925,0.8,0.2,0.732767967435319,False,False,True,0.9190275888285857,0.5618859164013915,0.5219619415645983,0.7808252893174736,0.14285714285714285,2.0,141055.0,0.0,141055.0,0.7675,0.434,0.5920000000000001,0.546,0.20200000000000007,0,0,0,0,0,0,0.5744430623483792,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True,0.9320748763328048,0.7931182348330651,0.6954418782816075,True
4195,I'm Not In Love,10cc,5,0.6909948542377822,0.7667916998648516,0.3878074717295044,0.8,0.2,0.6796856637200045,True,True,False,0.9268944341345611,0.8936922332636201,0.4647020191520789,0.6977386540671887,0.6,1.0,366640.0,0.0,0.0,0.7675,0.434,0.5920000000000001,0.274,0.07200000000000006,0,0,0,0,0,0,0.577299585797178,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True,0.9098359784628545,0.7919280890782382,0.6918647615203867,True
3040,Lose My Cool - Franc Moody Remix,Amber Mark,110,0.6224988823828191,0.6622636963700204,0.4634396264340138,0.8,0.2,0.6964340098539491,False,False,True,0.9181138547721495,0.5700004636356326,0.59494948980242,0.6583528401493346,0.14285714285714285,1.0,257145.0,0.0,257145.0,0.7675,0.434,0.5920000000000001,0.326,0.08200000000000007,0,0,0,0,0,0,0.5628516614020171,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True,0.9498148552591791,0.8306827701170069,0.6816595639563694,True
460,Beige,Terrace Martin,1855,0.5817523877821379,0.6009943638477101,0.504784483519849,0.8,0.2,0.7338712230243505,True,False,False,0.9606023632191959,0.297409714094639,0.6233980452698783,0.47991867359920115,0.0,3.0,102373.66666666667,0.5,102187.86045069106,0.7675,0.434,0.5920000000000001,0.12600000000000006,0.012000000000000122,0,0,0,0,0,0,0.5528894236837796,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True,0.9812134379619851,0.8690792460461103,0.673437605863153,True
3027,Buzzed,¿Téo?,2207,0.6698512607163756,0.7464230251284422,0.36356420306810905,0.8,0.2,0.7544566381679275,True,False,True,0.9502894059716352,0.7796747272068104,0.5276945137438992,0.6265964403833435,0.3333333333333333,1.0,159656.0,0.0,159656.0,0.7675,0.434,0.5920000000000001,0.064,0.1120000000000001,0,0,0,0,0,0,0.5549936140982756,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True,0.9527768026826116,0.8406437491123046,0.6726979050805981,True
3048,AMBER,Unusual Demont,1979,0.6339396453938559,0.6882227077628035,0.41680739591806587,0.8,0.2,0.7066154422563968,True,False,True,0.963174521967444,0.5082559576596347,0.6138927145429176,0.5672115614196827,0.14285714285714285,1.0,211627.0,0.0,211627.0,0.7675,0.434,0.5920000000000001,0.36600000000000005,0.16799999999999993,0,0,0,0,0,0,0.5525150518404347,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True,0.9857159904475071,0.8826797576065263,0.6716938974533816,True
3204,Bone Marrow,Eggshells,569,0.6078868681803751,0.6472772672128759,0.4503252720503711,0.8,0.2,0.6999957156287463,True,False,False,0.9499350687121431,0.5082559576596347,0.5442261241145071,0.5672115614196827,0.14285714285714285,1.0,244344.0,0.0,244344.00000000003,0.7675,0.434,0.5920000000000001,0.016000000000000014,0.22799999999999987,0,0,0,0,0,0,0.5488012696316236,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True,0.9409708443613103,0.8140370042785027,0.668285122084316,True
