track_id,track_name,artist_name,artist_id,hybrid_score,s_content,s_collab,w_content,w_collab,pre_score,from_content,from_tag,from_neighbor,long_term_sim,tag_cosine,mood_sim,cluster_tag_sim,tag_jaccard,group_listener_count,group_avg_ms,group_skip_rate,weighted_nbr_avg_ms,recent_skip_pct,recent_avg_valence,recent_avg_energy,valence_delta,energy_delta,tod_morning,tod_afternoon,tod_evening,tod_night,platform_mobile,platform_desktop,map_score,map_w_content,map_w_collab,ap_before,ap_after,map_tier,map_improved,like_sim,dislike_sim,feedback_score,feedback_applied
2180,Didn't Cha Know,Erykah Badu,601,0.7072492451311615,0.7715289974052426,0.4501302360348367,0.8,0.2,0.8019129249199304,True,False,False,0.9296781122762459,0.7492757425668197,0.7118440377623607,0.6888162420587585,0.3333333333333333,4.0,77722.2697368421,0.5855263157894737,47513.4403011037,0.24761904761904757,0.421,0.438,0.39899999999999997,0.04199999999999998,0,0,0,0,0,0,0.6429694928570803,0.6,0.4,0.0075186945775999004,0.015182074985474104,primary,True,0.9810478170081026,0.8964151938567042,0.7580007991881701,True
2408,Frontin' (feat. JAY-Z) - Club Mix,Pharrell Williams,1489,0.7189952512230195,0.7981421892373657,0.4024074991656343,0.8,0.2,0.7784599294941151,False,True,False,0.9342208872971633,0.8067474292276668,0.6275534117068293,0.7455482602061863,0.6,4.0,76592.20833333333,0.75,21024.236131535665,0.24761904761904757,0.421,0.438,0.339,0.03799999999999998,0,0,0,0,0,0,0.6398483132086731,0.6,0.4,0.0075186945775999004,0.015182074985474104,primary,True,0.9658215716409045,0.8873814317582168,0.7521184983493011,True
4067,act ii: date @ 8,4batz,27,0.740809766839636,0.8454953514962686,0.32206742821310486,0.8,0.2,0.7396759314559869,True,True,False,0.9390172852348603,0.8208158904707323,0.6963696802083978,0.7835498912665405,0.6,1.0,113684.0,0.0,113684.0,0.24761904761904757,0.421,0.438,0.329,0.018000000000000016,0,0,0,0,0,0,0.636124182183003,0.6,0.4,0.0075186945775999004,0.015182074985474104,primary,True,0.9815322755316312,0.8974849695673158,0.7510868709290293,True
681,Dontcha,The Internet,1885,0.7196687018278174,0.7972184517643477,0.4094697020816964,0.8,0.2,0.8021947197110795,False,True,True,0.9207307824819225,0.8208158904707323,0.6568542187976961,0.7835498912665405,0.6,2.0,152029.1875,0.25,145005.88379321073,0.24761904761904757,0.421,0.438,0.15899999999999997,0.08800000000000002,0,0,0,0,0,0,0.6421189518912872,0.6,0.4,0.0075186945775999004,0.015182074985474104,primary,True,0.9492408010770562,0.8908172726269331,0.7487277376890175,True
3041,Lemonhaze,PawPaw Rod,1480,0.6590690684797125,0.7068391499140457,0.46798874274237984,0.8,0.2,0.7291317049625482,False,False,True,0.9250834648247424,0.615429309028834,0.7013293693630128,0.7201614038862684,0.14285714285714285,2.0,156425.0,0.0,156478.0,0.24761904761904757,0.421,0.438,0.329,0.09200000000000003,0,0,0,0,0,0,0.6112989870453793,0.6,0.4,0.0075186945775999004,0.015182074985474104,primary,True,0.9806417453496764,0.9018829188343678,0.7251149268834086,True
2835,Out The Way,Dear Silas,492,0.72036254582924,0.8309966860682738,0.27782598487310484,0.8,0.2,0.6626075070346882,True,False,False,0.9420144068852363,0.77050151796035,0.7197200562075059,0.699066577764703,0.6,1.0,144962.0,0.0,0.0,0.24761904761904757,0.421,0.438,0.329,0.14199999999999996,0,0,0,0,0,0,0.6097284055902062,0.6,0.4,0.0075186945775999004,0.015182074985474104,primary,True,0.9892763988788921,0.9108143113593244,0.724348462982009,True
1775,Got It Like That,Cha Cha Malone,346,0.7090108025330435,0.8043570207754824,0.32762592956328745,0.8,0.2,0.7279599731829691,False,True,False,0.9200862849400735,0.8208158904707323,0.6770132051070771,0.7835498912665405,0.6,1.0,165897.18181818182,0.25252525252525254,165897.18181818182,0.24761904761904757,0.421,0.438,0.27899999999999997,0.27199999999999996,0,0,0,0,0,0,0.6136645842906044,0.6,0.4,0.0075186945775999004,0.015182074985474104,primary,True,0.9615255736683029,0.9061843356897978,0.7208853892531357,True
1245,SNB,MIKNNA,1201,0.6891687484276914,0.7710713456802212,0.3615583594175721,0.8,0.2,0.7200727996047749,False,True,True,0.891061207259928,0.8208158904707323,0.7199570602521156,0.7835498912665405,0.6,1.0,187715.6,0.2,187715.60000000003,0.24761904761904757,0.421,0.438,0.07900000000000001,0.062,0,0,0,0,0,0,0.6072661511751616,0.6,0.4,0.0075186945775999004,0.015182074985474104,primary,True,0.9512785439020709,0.889291256891834,0.7147914629674159,True
135,Bawling,Primary,1528,0.6607576190085677,0.7348059076607145,0.3645644643999802,0.8,0.2,0.7072912014725996,False,True,True,0.9131486402403203,0.7182527305135717,0.664344634152045,0.6548434350507392,0.6,1.0,193901.87272727274,0.21818181818181817,193901.87272727274,0.24761904761904757,0.421,0.438,0.059,0.182,0,0,0,0,0,0,0.5867093303564208,0.6,0.4,0.0075186945775999004,0.015182074985474104,primary,True,0.9616540566153783,0.8831023520422208,0.6985850769325901,True
3453,Omw,((( O ))),2,0.6298303293567916,0.6732678491611825,0.45608025013922815,0.8,0.2,0.6902530997199403,False,False,True,0.9082811739380492,0.6505420100325268,0.6567981062606882,0.743016599565665,0.14285714285714285,1.0,238493.0,0.0,238493.0,0.24761904761904757,0.421,0.438,0.039000000000000035,0.062,0,0,0,0,0,0,0.5863928095524008,0.6,0.4,0.0075186945775999004,0.015182074985474104,primary,True,0.9353651864523934,0.8605681394237334,0.6948887376033721,True
