track_id,track_name,artist_name,artist_id,hybrid_score,s_content,s_collab,w_content,w_collab,pre_score,from_content,from_tag,from_neighbor,long_term_sim,tag_cosine,mood_sim,cluster_tag_sim,tag_jaccard,group_listener_count,group_avg_ms,group_skip_rate,weighted_nbr_avg_ms,recent_skip_pct,recent_avg_valence,recent_avg_energy,valence_delta,energy_delta,tod_morning,tod_afternoon,tod_evening,tod_night,platform_mobile,platform_desktop,map_score,map_w_content,map_w_collab,ap_before,ap_after,map_tier,map_improved
2560,Add Up My Love,Clairo,389,0.6449128805180191,0.6660689415512865,0.5602886363849497,0.8,0.2,0.7379333299536612,True,False,True,0.9479252704323448,0.5154685249837049,0.5670787450468134,0.6307273303862774,0.14285714285714285,2.0,205264.0,0.0,205264.0,0.7675,0.434,0.5920000000000001,0.336,0.027999999999999914,0,0,0,0,0,0,0.6131787889681182,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True
2519,Juna,Clairo,389,0.6598585274421367,0.6956618555679066,0.5166452149390574,0.8,0.2,0.7460337817995735,True,False,False,0.9641261741241693,0.5154685249837049,0.5970365628744803,0.6307273303862774,0.14285714285714285,2.0,173599.27777777778,0.1111111111111111,195110.0,0.7675,0.434,0.5920000000000001,0.016000000000000014,0.11799999999999988,0,0,0,0,0,0,0.6061535352534819,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True
2533,Terrapin,Clairo,389,0.6249883159771856,0.6474603448299414,0.5351002005661624,0.8,0.2,0.7382836489780291,True,False,False,0.9486259084810805,0.5154685249837049,0.5147615679100842,0.6307273303862774,0.14285714285714285,2.0,181064.8333333333,0.0,180290.0,0.7675,0.434,0.5920000000000001,0.035999999999999976,0.15200000000000008,0,0,0,0,0,0,0.591280272698052,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True
4195,I'm Not In Love,10cc,5,0.6909948542377822,0.7667916998648516,0.3878074717295044,0.8,0.2,0.6796856637200045,True,True,False,0.9268944341345611,0.8936922332636201,0.4647020191520789,0.6977386540671887,0.6,1.0,366640.0,0.0,0.0,0.7675,0.434,0.5920000000000001,0.274,0.07200000000000006,0,0,0,0,0,0,0.577299585797178,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True
2523,Out of Me Head,Steve Lacy,1782,0.6224041772945792,0.6543782539253791,0.49450787077137925,0.8,0.2,0.732767967435319,False,False,True,0.9190275888285857,0.5618859164013915,0.5219619415645983,0.7808252893174736,0.14285714285714285,2.0,141055.0,0.0,141055.0,0.7675,0.434,0.5920000000000001,0.546,0.20200000000000007,0,0,0,0,0,0,0.5744430623483792,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True
3222,Lights,Eggshells,569,0.6605758253534273,0.7180439247664092,0.4307034277014991,0.8,0.2,0.7063080226035123,False,True,False,0.9006796045100874,0.6629561530386038,0.6934221599346289,0.6228791429607778,0.3333333333333333,1.0,225191.0,0.0,225190.99999999997,0.7675,0.434,0.5920000000000001,0.16599999999999998,0.03200000000000003,0,0,0,0,0,0,0.5743736762339542,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True
3026,Givin' Up On Lovin',Magic City Hippies,1227,0.6546019261979494,0.7105079107358419,0.4309779880463797,0.8,0.2,0.7018901970644955,False,True,True,0.8710792028617016,0.7148680294644842,0.7237829793749548,0.6255383418225453,0.3333333333333333,1.0,225459.0,0.0,225459.0,0.7675,0.434,0.5920000000000001,0.416,0.11799999999999988,0,0,0,0,0,0,0.5707429493911108,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True
1734,My Heart Belongs To U,Jodeci,930,0.6923786406439295,0.7741421777949095,0.3653244920400096,0.8,0.2,0.7138145794895392,False,True,False,0.9295082020029652,0.7970512627760734,0.6409169760609184,0.6539545871680881,0.3333333333333333,1.0,217151.7142857143,0.2857142857142857,217151.7142857143,0.7675,0.434,0.5920000000000001,0.0040000000000000036,0.08200000000000007,0,0,0,0,0,0,0.5697333349174596,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True
5768,Charcoal Baby,Blood Orange,255,0.7190068184589959,0.8206121051117667,0.3125856718479127,0.8,0.2,0.6927162920104728,False,True,False,0.9055170609080669,0.8247888077821968,0.6781563782130646,0.8074809651082527,0.6,2.0,121507.16666666667,0.5,673.3333333333334,0.7675,0.434,0.5920000000000001,0.07600000000000001,0.13200000000000006,0,0,0,0,0,0,0.5665988884798397,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True
3040,Lose My Cool - Franc Moody Remix,Amber Mark,110,0.6224988823828191,0.6622636963700204,0.4634396264340138,0.8,0.2,0.6964340098539491,False,False,True,0.9181138547721495,0.5700004636356326,0.59494948980242,0.6583528401493346,0.14285714285714285,1.0,257145.0,0.0,257145.0,0.7675,0.434,0.5920000000000001,0.326,0.08200000000000007,0,0,0,0,0,0,0.5628516614020171,0.5,0.5,0.026419269492128354,0.03519468720822787,primary,True
