track_id,track_name,artist_name,artist_id,hybrid_score,s_content,s_collab,w_content,w_collab,pre_score,from_content,from_tag,from_neighbor,long_term_sim,tag_cosine,mood_sim,cluster_tag_sim,tag_jaccard,group_listener_count,group_avg_ms,group_skip_rate,weighted_nbr_avg_ms,recent_skip_pct,recent_avg_valence,recent_avg_energy,valence_delta,energy_delta,tod_morning,tod_afternoon,tod_evening,tod_night,platform_mobile,platform_desktop
162,YUPPIE TING (Feat. Blase),pH-1,2169,0.6815189138088176,0.7911887457707186,0.2428395859612134,0.8,0.2,0.6567702407818491,True,False,False,0.9680436013950248,0.6762422004216838,0.7243373956700021,0.607974191476892,0.3333333333333333,1.0,143693.42307692306,0.23076923076923078,0.0,0.5970372621695083,0.458,0.561,0.10200000000000004,0.15899999999999992,0,0,0,0,0,0
1664,Crazy,Gnarls Barkley,723,0.6811423044014039,0.8248883846680328,0.10615798333488793,0.8,0.2,0.7253314700649336,False,True,False,0.9570313068585855,0.8590790831782047,0.6095166116995113,0.8512078750959934,0.3333333333333333,2.0,6883.0,1.0,3060.0,0.5970372621695083,0.458,0.561,0.15199999999999997,0.17899999999999994,0,0,0,0,0,0
2228,BODY,MINO,1204,0.6806296297388597,0.8478808381407597,0.011624796131259479,0.8,0.2,0.680337214020069,False,True,False,0.944629152906055,0.8526131878352076,0.671531943833546,0.7651072335664041,0.6,1.0,18770.0,1.0,0.0,0.5970372621695083,0.458,0.561,0.068,0.2589999999999999,0,0,0,0,0,0
618,IS THIS LOVE,XG,2041,0.6805079455912378,0.8416069804052184,0.03611180633531577,0.8,0.2,0.6973027404444978,False,True,False,0.9510351192300779,0.9214259041472943,0.6018716128811039,0.9069853656779407,0.3333333333333333,1.0,58308.0,1.0,0.0,0.5970372621695083,0.458,0.561,0.0020000000000000018,0.1489999999999999,0,0,0,0,0,0
2666,Yeah You,N.E.R.D,1340,0.6803411190634029,0.8501238568073611,0.0012101680875695952,0.8,0.2,0.6942113275029936,False,True,False,0.9547307135952977,0.8967298535267241,0.6434113718268942,0.8841411696959727,0.3333333333333333,1.0,977.0,1.0,977.0000000000001,0.5970372621695083,0.458,0.561,0.442,0.1289999999999999,0,0,0,0,0,0
2482,20 Min,Lil Uzi Vert,1138,0.6797693221056607,0.7728146322213488,0.30758808164290785,0.8,0.2,0.7709466932989396,True,False,False,0.9612681638168935,0.6762422004216838,0.6906449024721445,0.607974191476892,0.3333333333333333,2.0,98857.82291666667,0.5625,95042.6383178568,0.5970372621695083,0.458,0.561,0.322,0.18899999999999995,0,0,0,0,0,0
1809,Just the Way You Are,Bruno Mars,297,0.6789030658063839,0.8231225311931617,0.10202520425927288,0.8,0.2,0.7245452789306197,False,True,False,0.9403986164505498,0.8967298535267241,0.6046032167827349,0.8841411696959727,0.3333333333333333,2.0,1906.6666666666665,1.0,1363.3333333333333,0.5970372621695083,0.458,0.561,0.038000000000000034,0.2789999999999999,0,0,0,0,0,0
943,Love Contract (Prod. By GRAY) (Feat. Vinxen),GIRIBOY,688,0.6786733303836071,0.8462127212132753,0.008515767064934359,0.8,0.2,0.6795025340667523,False,True,False,0.9429597929994217,0.8526131878352076,0.6710522449115788,0.7651072335664041,0.6,1.0,13750.0,1.0,0.0,0.5970372621695083,0.458,0.561,0.332,0.249,0,0,0,0,0,0
2507,ACTIN UP,Tommy Richman,1939,0.6784103468468604,0.756589456549288,0.3656939080371494,0.8,0.2,0.7266330505120853,False,False,True,0.9247654007271401,0.6762422004216838,0.735556852911987,0.607974191476892,0.3333333333333333,1.0,133769.0,0.0,133769.0,0.5970372621695083,0.458,0.561,0.008000000000000007,0.02100000000000002,0,0,0,0,0,0
1655,Big Poppa - 2007 Remaster,The Notorious B.I.G.,1895,0.6777196014559506,0.8007217607272666,0.1857109643706862,0.8,0.2,0.709186798082994,False,True,False,0.9484896514330258,0.7997098618324061,0.6291099013699023,0.7980729672919327,0.3333333333333333,2.0,72827.3,0.8,980.0,0.5970372621695083,0.458,0.561,0.342,0.10899999999999999,0,0,0,0,0,0
2416,Pop Sh*t (feat. Pharrell),Ol' Dirty Bastard,1424,0.6768638392135118,0.8456462690174021,0.0017341199979502826,0.8,0.2,0.6970765082497464,False,True,False,0.9505826548405751,0.9214259041472943,0.614029241262195,0.9069853656779407,0.3333333333333333,1.0,2800.0,1.0,0.0,0.5970372621695083,0.458,0.561,0.23199999999999993,0.1289999999999999,0,0,0,0,0,0
4604,Out The Way,Dear Silas,492,0.6768443345430962,0.8457553534709749,0.0012002588315813078,0.8,0.2,0.6806995468388725,True,False,False,0.9578750503820185,0.8213101082393158,0.7053350540179449,0.8184172845725355,0.3333333333333333,1.0,969.0,1.0,968.9999999999999,0.5970372621695083,0.458,0.561,0.292,0.018999999999999906,0,0,0,0,0,0
2127,34-24-35 (Feat. Street Baby),sokodomo,2183,0.6767765651074759,0.8457926493908052,0.0007122279741581615,0.8,0.2,0.6801519702251414,False,True,False,0.9442586653161997,0.8526131878352076,0.6667254293239797,0.7651072335664041,0.6,1.0,1150.0,1.0,0.0,0.5970372621695083,0.458,0.561,0.258,0.119,0,0,0,0,0,0
2505,S.N.I.T.C.H.,Pusha T,1533,0.6762849867509276,0.7198477028079108,0.502034122522995,0.8,0.2,0.7256654341362389,False,False,True,0.9228301679754471,0.6762422004216838,0.6397728984864849,0.607974191476892,0.3333333333333333,1.0,243840.0,0.0,243840.0,0.5970372621695083,0.458,0.561,0.29800000000000004,0.04899999999999993,0,0,0,0,0,0
234,Yellow Tape,Chris Brown,375,0.6757594504546909,0.8121861837108423,0.1300525174300849,0.8,0.2,0.673048189076858,False,True,False,0.9512124334207537,0.7997098618324061,0.6538132928505593,0.7980729672919327,0.3333333333333333,1.0,117723.72857142857,0.7142857142857143,0.0,0.5970372621695083,0.458,0.561,0.07800000000000001,0.01100000000000001,0,0,0,0,0,0
5698,"act vii: all we do is argue, argue",4batz,27,0.6752119707090655,0.8344020560349442,0.038451629405550095,0.8,0.2,0.6814725280096621,True,False,False,0.9591575839220366,0.8219686802432189,0.6591811247412429,0.8450389647593359,0.3333333333333333,1.0,31043.0,1.0,31043.0,0.5970372621695083,0.458,0.561,0.10200000000000004,0.09100000000000008,0,0,0,0,0,0
