track_id,track_name,artist_name,artist_id,hybrid_score,s_content,s_collab,w_content,w_collab,pre_score,from_content,from_tag,from_neighbor,long_term_sim,tag_cosine,mood_sim,cluster_tag_sim,tag_jaccard,group_listener_count,group_avg_ms,group_skip_rate,weighted_nbr_avg_ms,recent_skip_pct,recent_avg_valence,recent_avg_energy,valence_delta,energy_delta,tod_morning,tod_afternoon,tod_evening,tod_night,platform_mobile,platform_desktop,map_score,map_w_content,map_w_collab,ap_before,ap_after,map_tier,map_improved
296,Running Through The Rain,YUGYEOM,2056,0.7549036884618164,0.8728945233632044,0.28294034885626407,0.8,0.2,0.7190034196936165,False,True,False,0.9366119554148927,0.8482390536162345,0.7219124831920765,0.8053910093766937,0.6,1.0,147692.5,0.5,147692.5,0.9630188679245283,0.639,0.776,0.0010000000000000009,0.05600000000000005,0,0,0,0,0,0,0.7549036884618164,0.8,0.2,0.0,0.0,defaults,False
1064,SUMMERIDE,Jay Park,896,0.7548835650608818,0.8639033659175965,0.31880436163402276,0.8,0.2,0.7228676756302741,False,True,False,0.9379905654058358,0.8096767692435113,0.7281539095685668,0.7961941804520483,0.6,1.0,156463.3,0.375,156463.3,0.9630188679245283,0.639,0.776,0.05900000000000005,0.04399999999999993,0,0,0,0,0,0,0.7548835650608818,0.8,0.2,0.0,0.0,defaults,False
993,"Party Band (Feat. PUNCHNELLO, Thur)",Loco,1157,0.7437442192824256,0.8430699394672305,0.34644133854320575,0.8,0.2,0.7191209369569384,True,False,False,0.978216428132867,0.7448154581379083,0.6288192316544525,0.7555884832616567,0.6,1.0,198958.5,0.5,198958.5,0.9630188679245283,0.639,0.776,0.131,0.15600000000000003,0,0,0,0,0,0,0.7437442192824256,0.8,0.2,0.0,0.0,defaults,False
3073,Sundress,A$AP Rocky,45,0.7318804749198984,0.8158598513722801,0.39596296911037127,0.8,0.2,0.739260216982554,True,False,False,0.9771584608478721,0.6722992338201954,0.6449939152021996,0.6902162513718699,0.6,1.0,158206.0,0.0,158206.0,0.9630188679245283,0.639,0.776,0.10099999999999998,0.06600000000000006,0,0,0,0,0,0,0.7318804749198984,0.8,0.2,0.0,0.0,defaults,False
573,Late Night,Loco,1157,0.7311502049369388,0.8596166599209922,0.21728438500072517,0.8,0.2,0.7195668548616927,True,False,False,0.9694305681061707,0.7448154581379083,0.7002864057985473,0.7555884832616567,0.6,1.0,85716.44444444444,0.4444444444444444,85716.44444444444,0.9630188679245283,0.639,0.776,0.16100000000000003,0.134,0,0,0,0,0,0,0.7311502049369388,0.8,0.2,0.0,0.0,defaults,False
2180,Didn't Cha Know,Erykah Badu,601,0.7309687933798664,0.7906690906189516,0.4921676044235251,0.8,0.2,0.8491968855853265,False,True,False,0.9118368022433526,0.7664279469823196,0.7220220459770692,0.759354342327855,0.3333333333333333,4.0,77722.2697368421,0.5855263157894737,98715.38490600945,0.9630188679245283,0.639,0.776,0.18099999999999994,0.29600000000000004,0,0,0,0,0,0,0.7309687933798664,0.8,0.2,0.0,0.0,defaults,False
406,My Last (Feat. Loco & GRAY),Jay Park,896,0.730965468877605,0.8308341902511869,0.3314905833832777,0.8,0.2,0.7300289604166524,True,False,False,0.9709993875436799,0.7448154581379083,0.6142845197057332,0.7555884832616567,0.6,1.0,159977.5,0.3333333333333333,159977.5,0.9630188679245283,0.639,0.776,0.009000000000000008,0.124,0,0,0,0,0,0,0.730965468877605,0.8,0.2,0.0,0.0,defaults,False
4436,Time of Our Lives,Pitbull,1506,0.7282493232101983,0.7892870617166992,0.4840983691841951,0.8,0.2,0.7125385339368585,False,True,False,0.9249164732363365,0.7065071855663456,0.6442148458274843,0.7799714223764938,0.6,1.0,229360.0,0.0,229360.00000000003,0.9630188679245283,0.639,0.776,0.08099999999999996,0.02400000000000002,0,0,0,0,0,0,0.7282493232101983,0.8,0.2,0.0,0.0,defaults,False
135,Bawling,Primary,1528,0.7265806094509007,0.809090374791094,0.39654154809012737,0.8,0.2,0.7183793951834504,False,True,False,0.9048637544482035,0.8096767692435113,0.6652669068559904,0.7961941804520483,0.6,1.0,193901.87272727274,0.21818181818181817,193901.87272727274,0.9630188679245283,0.639,0.776,0.15900000000000003,0.15600000000000003,0,0,0,0,0,0,0.7265806094509007,0.8,0.2,0.0,0.0,defaults,False
1129,Birthday - Remix,Jay Park,896,0.7254954916855813,0.8323311359110308,0.2981529147837828,0.8,0.2,0.718568100327327,True,False,False,0.9771107548736442,0.7448154581379083,0.6014559398366546,0.7555884832616567,0.6,1.0,159974.0,0.5,159974.0,0.9630188679245283,0.639,0.776,0.05900000000000005,0.06600000000000006,0,0,0,0,0,0,0.7254954916855813,0.8,0.2,0.0,0.0,defaults,False
407,Best Friend,Pharrell Williams,1489,0.7242172254338917,0.8418550184849452,0.2536660532296774,0.8,0.2,0.7333140585843384,True,True,False,0.97259193060033,0.8540365496967641,0.6017169148088981,0.8107230430474031,0.3333333333333333,1.0,133028.88888888888,0.5555555555555556,133028.88888888888,0.9630188679245283,0.639,0.776,0.019000000000000017,0.026000000000000023,0,0,0,0,0,0,0.7242172254338917,0.8,0.2,0.0,0.0,defaults,False
