track_id,track_name,artist_name,artist_id,hybrid_score,s_content,s_collab,w_content,w_collab,pre_score,from_content,from_tag,from_neighbor,long_term_sim,tag_cosine,mood_sim,cluster_tag_sim,tag_jaccard,group_listener_count,group_avg_ms,group_skip_rate,weighted_nbr_avg_ms,recent_skip_pct,recent_avg_valence,recent_avg_energy,valence_delta,energy_delta,tod_morning,tod_afternoon,tod_evening,tod_night,platform_mobile,platform_desktop
296,Running Through The Rain,YUGYEOM,2056,0.7549036884618162,0.8728945233632042,0.28294034885626407,0.8,0.2,0.7190034196936164,False,True,False,0.9366119554148925,0.8482390536162345,0.7219124831920765,0.8053910093766941,0.6,1.0,147692.5,0.5,147692.5,0.9630188679245283,0.639,0.776,0.0010000000000000009,0.05600000000000005,0,0,0,0,0,0
1064,SUMMERIDE,Jay Park,896,0.7548835650608821,0.8639033659175968,0.31880436163402276,0.8,0.2,0.722867675630274,False,True,False,0.9379905654058357,0.8096767692435114,0.728153909568567,0.7961941804520483,0.6,1.0,156463.3,0.375,156463.3,0.9630188679245283,0.639,0.776,0.05900000000000005,0.04399999999999993,0,0,0,0,0,0
993,"Party Band (Feat. PUNCHNELLO, Thur)",Loco,1157,0.7437442192824256,0.8430699394672305,0.34644133854320575,0.8,0.2,0.7191209369569382,True,False,False,0.9782164281328669,0.7448154581379083,0.6288192316544525,0.7555884832616567,0.6,1.0,198958.5,0.5,198958.5,0.9630188679245283,0.639,0.776,0.131,0.15600000000000003,0,0,0,0,0,0
3073,Sundress,A$AP Rocky,45,0.7318804749198985,0.8158598513722803,0.39596296911037127,0.8,0.2,0.739260216982554,True,False,False,0.9771584608478721,0.6722992338201954,0.6449939152021998,0.6902162513718697,0.6,1.0,158206.0,0.0,158206.0,0.9630188679245283,0.639,0.776,0.10099999999999998,0.06600000000000006,0,0,0,0,0,0
573,Late Night,Loco,1157,0.7311502049369388,0.8596166599209922,0.21728438500072517,0.8,0.2,0.7195668548616927,True,False,False,0.9694305681061706,0.7448154581379083,0.7002864057985474,0.7555884832616567,0.6,1.0,85716.44444444444,0.4444444444444444,85716.44444444444,0.9630188679245283,0.639,0.776,0.16100000000000003,0.134,0,0,0,0,0,0
2180,Didn't Cha Know,Erykah Badu,601,0.7309687933798664,0.7906690906189517,0.4921676044235251,0.8,0.2,0.8491968855853265,False,True,False,0.9118368022433525,0.7664279469823199,0.7220220459770693,0.7593543423278551,0.3333333333333333,4.0,77722.2697368421,0.5855263157894737,98715.38490600948,0.9630188679245283,0.639,0.776,0.18099999999999994,0.29600000000000004,0,0,0,0,0,0
406,My Last (Feat. Loco & GRAY),Jay Park,896,0.7309654688776056,0.8308341902511875,0.3314905833832777,0.8,0.2,0.7300289604166527,True,False,False,0.9709993875436802,0.7448154581379083,0.6142845197057334,0.7555884832616567,0.6,1.0,159977.5,0.3333333333333333,159977.5,0.9630188679245283,0.639,0.776,0.009000000000000008,0.124,0,0,0,0,0,0
4436,Time of Our Lives,Pitbull,1506,0.7282493232101988,0.7892870617166996,0.4840983691841951,0.8,0.2,0.7125385339368586,False,True,False,0.9249164732363366,0.7065071855663458,0.6442148458274845,0.7799714223764935,0.6,1.0,229360.0,0.0,229360.00000000003,0.9630188679245283,0.639,0.776,0.08099999999999996,0.02400000000000002,0,0,0,0,0,0
135,Bawling,Primary,1528,0.726580609450901,0.8090903747910942,0.39654154809012737,0.8,0.2,0.7183793951834504,False,True,False,0.9048637544482037,0.8096767692435114,0.6652669068559905,0.7961941804520483,0.6,1.0,193901.87272727274,0.21818181818181817,193901.87272727274,0.9630188679245283,0.639,0.776,0.15900000000000003,0.15600000000000003,0,0,0,0,0,0
1129,Birthday - Remix,Jay Park,896,0.7254954916855818,0.8323311359110315,0.2981529147837828,0.8,0.2,0.718568100327327,True,False,False,0.9771107548736444,0.7448154581379083,0.6014559398366547,0.7555884832616567,0.6,1.0,159974.0,0.5,159974.0,0.9630188679245283,0.639,0.776,0.05900000000000005,0.06600000000000006,0,0,0,0,0,0
407,Best Friend,Pharrell Williams,1489,0.7242172254338918,0.8418550184849453,0.2536660532296774,0.8,0.2,0.7333140585843384,True,True,False,0.97259193060033,0.8540365496967641,0.6017169148088981,0.8107230430474032,0.3333333333333333,1.0,133028.88888888888,0.5555555555555556,133028.88888888888,0.9630188679245283,0.639,0.776,0.019000000000000017,0.026000000000000023,0,0,0,0,0,0
168,센 척 (Prod. GRAY),pH-1,2169,0.7241708803336984,0.834606975646403,0.2824264990828797,0.8,0.2,0.7287464324078745,True,False,False,0.9760495675939574,0.7448154581379083,0.6108742533538629,0.7555884832616567,0.6,1.0,127425.37704918033,0.3770491803278688,127425.37704918033,0.9630188679245283,0.639,0.776,0.06099999999999994,0.126,0,0,0,0,0,0
