user,track_id,n_plays,avg_ms,skip_count,meaningful_pct,skip_rate,weight
andy,0,74,254261.0810810811,35,0.527027027027027,0.47297297297297297,2.2754329247015685
andy,1,2,1051.5,2,0.0,1.0,0.0
andy,2,41,31039.829268292684,38,0.07317073170731707,0.926829268292683,0.27348802085000257
andy,3,26,126702.57692307692,18,0.3076923076923077,0.6923076923076923,1.014103651078255
andy,4,22,55573.77272727273,19,0.13636363636363635,0.8636363636363636,0.42756739308124764
andy,5,18,55536.0,14,0.2222222222222222,0.7777777777777778,0.6543197731480977
andy,6,34,83772.4705882353,17,0.5,0.5,1.7776740307447068
andy,7,19,43506.36842105263,14,0.2631578947368421,0.7368421052631579,0.7883505983036818
andy,8,15,80959.26666666666,10,0.3333333333333333,0.6666666666666666,0.9241962407465937
andy,9,65,142849.38461538462,13,0.8,0.2,3.35172379362114
andy,10,90,104348.22222222222,32,0.6333333333333333,0.35555555555555557,2.8568776874606714
andy,11,93,144740.50537634408,19,0.7849462365591398,0.20430107526881722,3.5662421409216156
andy,12,76,140033.40789473685,25,0.6447368421052632,0.32894736842105265,2.8006113904056646
andy,13,125,112467.936,48,0.584,0.384,2.824388633659663
andy,14,79,182117.78481012658,15,0.7848101265822784,0.189873417721519,3.439058877845324
andy,15,74,135786.7162162162,26,0.6216216216216216,0.35135135135135137,2.683843962468517
andy,16,20,74102.05,15,0.2,0.75,0.6089044875446846
andy,17,20,49662.65,16,0.2,0.8,0.6089044875446846
andy,18,11,65307.545454545456,8,0.2727272727272727,0.7272727272727273,0.6777018135785455
andy,19,10,47561.7,9,0.1,0.9,0.23978952727983707
andy,20,12,24525.75,10,0.16666666666666666,0.8333333333333334,0.42749155957692275
andy,21,9,9621.0,9,0.0,1.0,0.0
andy,22,21,77191.76190476191,13,0.38095238095238093,0.6190476190476191,1.1775399822317394
andy,23,10,55822.1,7,0.3,0.7,0.7193685818395111
andy,24,8,46177.125,6,0.25,0.75,0.5493061443340549
andy,25,6,60228.333333333336,4,0.3333333333333333,0.6666666666666666,0.648636716351771
andy,26,16,39168.5625,13,0.1875,0.8125,0.5312275020105406
andy,27,18,68542.61111111111,11,0.3888888888888889,0.6111111111111112,1.1450596030091713
andy,28,17,112220.35294117648,12,0.29411764705882354,0.7058823529411765,0.8501093405576955
andy,29,14,47106.57142857143,8,0.35714285714285715,0.5714285714285714,0.9671607861079322
andy,30,17,160705.88235294117,13,0.23529411764705882,0.7647058823529411,0.6800874724461563
andy,31,101,157000.0396039604,28,0.7029702970297029,0.27722772277227725,3.2512185123087445
andy,32,14,92471.85714285714,5,0.6428571428571429,0.35714285714285715,1.740889414994278
andy,33,10,61721.5,6,0.4,0.6,0.9591581091193483
andy,34,9,38763.11111111111,7,0.1111111111111111,0.7777777777777778,0.2558427881104495
andy,35,126,168844.85714285713,30,0.746031746031746,0.23809523809523808,3.6139173502151394
andy,36,64,130733.171875,15,0.765625,0.234375,3.196015253513847
andy,37,57,130384.05263157895,20,0.631578947368421,0.3508771929824561,2.5644903224503697
andy,38,67,132759.5671641791,16,0.746268656716418,0.23880597014925373,3.1488863471463486
andy,39,28,114572.25,12,0.5714285714285714,0.42857142857142855,1.9241690457065566
andy,40,60,119695.81666666667,22,0.6333333333333333,0.36666666666666664,2.6035534473097637
andy,41,63,152853.47619047618,18,0.7142857142857143,0.2857142857142857,2.970630773828337
andy,42,54,128026.20370370371,17,0.6666666666666666,0.3148148148148148,2.6715554568216473
andy,43,53,176345.24528301886,17,0.6792452830188679,0.32075471698113206,2.7094985976662995
andy,44,47,130115.76595744681,15,0.6382978723404256,0.3191489361702128,2.4709793686646115
andy,45,13,36161.846153846156,12,0.07692307692307693,0.9230769230769231,0.2030044099704045
andy,46,12,103015.0,6,0.5,0.5,1.2824746787307684
andy,47,6,61827.833333333336,4,0.3333333333333333,0.6666666666666666,0.648636716351771
andy,48,12,36925.666666666664,9,0.25,0.75,0.6412373393653842
