track_id,pre_score,content_sim,tag_sim,group_pop,neighbor_score,from_content,from_tag,from_neighbor,track_name,artist_name
3194,0.7605445956813046,0.8694196887682349,0.8247888077821968,0.5,0.5725132649383193,False,True,False,Groove Therapy,Cruza
2207,0.7593602970357576,0.9073246231633222,0.5366049785667432,0.75,0.5725132649383193,False,False,True,Snap My Finger (feat. PinkPantheress),KAYTRANADA
64,0.7559547455610195,0.956555556581668,0.17457662235187504,0.75,0.8684109519987371,True,False,False,Ring Ring Ring,"Tyler, The Creator"
3027,0.7544566381679275,0.9502894059716352,0.7796747272068104,0.25,0.5725132649383193,True,False,True,Buzzed,¿Téo?
2883,0.7507797733441031,0.9541722598783229,0.5912757426728382,0.75,0.28625663246915967,False,True,False,Some,Steve Lacy
944,0.7465090317090152,0.8981874144772805,0.17457662235187504,0.75,1.0,False,False,True,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator"
2519,0.7460337817995735,0.9641261741241693,0.5154685249837049,0.5,0.5725132649383193,True,False,False,Juna,Clairo
2515,0.7385244780132794,0.949107566551581,0.5154685249837049,0.5,0.5725132649383193,False,False,True,Run Your Mouth,The Marías
2533,0.7382836489780291,0.9486259084810805,0.5154685249837049,0.5,0.5725132649383193,True,False,False,Terrapin,Clairo
2560,0.7379333299536612,0.9479252704323448,0.5154685249837049,0.5,0.5725132649383193,True,False,True,Add Up My Love,Clairo
460,0.7338712230243505,0.9606023632191959,0.297409714094639,0.75,0.5439206573054988,True,False,False,Beige,Terrace Martin
2523,0.732767967435319,0.9190275888285857,0.5618859164013915,0.5,0.5725132649383193,False,False,True,Out of Me Head,Steve Lacy
3014,0.7221109543305061,0.9475444269900464,0.6248087554736754,0.25,0.5725132649383193,False,True,True,Them Changes,Thundercat
2460,0.7217068285171273,0.876118754015529,0.5366049785667432,0.5,0.6755097053067617,False,False,True,The Worst In Me (feat. Tinashe),KAYTRANADA
2679,0.718006792211437,0.9186381366011204,0.3015536708506452,0.75,0.5725132649383193,False,False,True,Lose Control,Amaria
1734,0.7138145794895392,0.9295082020029652,0.7970512627760734,0.25,0.3476681728856125,False,True,False,My Heart Belongs To U,Jodeci
4394,0.7110689265585853,0.9488634731848842,0.3015536708506452,0.5,0.6755097053067617,True,False,False,Found (feat. Brent Faiyaz),Tems
347,0.7072121303171837,0.884761825268956,0.7970512627760734,0.5,0.202806434183274,False,True,False,Chunky,Bruno Mars
3048,0.7066154422563968,0.963174521967444,0.5082559576596347,0.25,0.5725132649383193,True,False,True,AMBER,Unusual Demont
3222,0.7063080226035123,0.9006796045100874,0.6629561530386038,0.25,0.5725132649383193,False,True,False,Lights,Eggshells
2982,0.7049221098876527,0.8999129751397879,0.6579431628850545,0.25,0.5725132649383193,False,False,True,everytime,Ariana Grande
1762,0.7041749522348709,0.896957853054614,0.8548065843338342,0.5,0.06489805893864767,False,True,False,Softcore,The Neighbourhood
3026,0.7018901970644955,0.8710792028617016,0.7148680294644842,0.25,0.5725132649383193,False,True,True,Givin' Up On Lovin',Magic City Hippies
3013,0.7017647405504338,0.9419279715504387,0.5371188251723329,0.25,0.5725132649383193,False,False,True,Op Shop Lover,grentperez
3206,0.7017487206833449,0.9534410788213402,0.5082559576596347,0.25,0.5725132649383193,True,False,False,Holding Back,Eggshells
3133,0.7006585858787823,0.9384889581926934,0.7820705339121781,0.5,0.0,True,False,False,Brewster,Cruza
3204,0.6999957156287463,0.9499350687121431,0.5082559576596347,0.25,0.5725132649383193,True,False,False,Bone Marrow,Eggshells
2836,0.6980806522713535,0.8865432219936944,0.6571602576687925,0.25,0.5725132649383193,False,False,True,Play Too Much,Kyle Dion
2857,0.6974423193490595,0.9212171224613387,0.5672838418882118,0.25,0.5725132649383193,False,True,True,Ms. Communication,theMIND
2504,0.6965107645505046,0.9403416109593237,0.6579431628850545,0.25,0.38167550995887956,True,False,False,blazed (feat. Pharrell Williams),Ariana Grande
3040,0.6964340098539491,0.9181138547721495,0.5700004636356326,0.25,0.5725132649383193,False,False,True,Lose My Cool - Franc Moody Remix,Amber Mark
2924,0.6960920084656799,0.9092779867912004,0.3015536708506452,0.5,0.7076152059996718,False,False,True,West Coast Love,Emotional Oranges
2928,0.6953344285492699,0.9071262382381531,0.4044715984472274,0.5,0.5725132649383193,False,False,True,Bad News,HALFnHALF
2889,0.6937925509822888,0.9390491227742545,0.5044549992720682,0.25,0.5725132649383193,False,False,True,Is It Magic?,PawPaw Rod
3047,0.6936479611462154,0.9372395597470812,0.5082559576596347,0.25,0.5725132649383193,True,False,True,Wallflower,Tim Atlas
2990,0.6929587626249671,0.932917339795681,0.5700004636356326,0.75,0.0,True,False,False,Tongue Tied,GROUPLOVE
5768,0.6927162920104728,0.9055170609080669,0.8247888077821968,0.5,0.0,False,True,False,Charcoal Baby,Blood Orange
2466,0.6924999565592895,0.8669917783768281,0.49063538815063845,0.5,0.5725132649383193,False,False,True,Bad Behavior,Remi Wolf
1546,0.6921102049682252,0.9344552495941364,0.7494129008557852,0.5,0.0,False,True,False,Champagne Coast,Blood Orange
2556,0.6911992702717494,0.9338625613531759,0.5044549992720682,0.25,0.5725132649383193,True,False,True,do you have a soul?,Fousheé
2309,0.6906710595064057,0.9360899139296168,0.6651201964020081,0.5,0.09734708840797152,True,False,False,Clarity,Zedd
3212,0.6902945674191119,0.9305327722928742,0.5082559576596347,0.25,0.5725132649383193,True,False,False,Human Noise,Eggshells
634,0.6899057295215968,0.8726891339950906,0.32057459288308177,0.5,0.762974959649568,False,False,True,Valentine,Laufey
5726,0.6898303265601778,0.9627380193868221,0.8548065843338342,0.25,0.0,False,True,False,Kahlil Gibran,STRFKR
5879,0.6894504329785567,0.9619963161653482,0.667261374479413,0.5,0.0,True,False,False,Team,Lorde
5636,0.6885216862265533,0.9545598119203281,0.17457662235187504,0.5,0.6755097053067617,False,False,True,Lee & Lovie (with reggie),Smino
1341,0.6879169855631679,0.8758233018722376,0.323957863921542,0.5,0.7347584122849385,False,False,True,On Sight,Free Nationals
3240,0.6877659614297682,0.9577009914558673,0.4276923798054336,0.25,0.5725132649383193,True,False,False,Outside Looking In,Rose Droll
2526,0.6874323020607359,0.9521323349730325,0.43994572416735916,0.25,0.5725132649383193,False,False,True,5 MO' MINUTES,Noah Guy
2920,0.6872819386346863,0.9338460121500214,0.297409714094639,0.5,0.5725132649383193,False,False,True,Upset (feat. Tommy Richman & FELIX!),Brent Faiyaz
6268,0.6863468407738649,0.9557710478141961,0.8548065843338342,0.25,0.0,True,True,False,"New Person, Same Old Mistakes",Tame Impala
