track_id,pre_score,content_sim,tag_sim,group_pop,neighbor_score,from_content,from_tag,from_neighbor,track_name,artist_name
944,0.8201960884525931,0.8967936830258183,0.5464962346984192,0.75,1.0,False,False,True,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator"
4394,0.8070451130721878,0.9475333844173263,0.6167076430056916,0.5,0.8995792817492435,True,False,True,Found (feat. Brent Faiyaz),Tems
681,0.8021947197110795,0.9207307824819225,0.8208158904707323,0.5,0.6844410025064789,False,True,True,Dontcha,The Internet
2180,0.8019129249199304,0.9296781122762459,0.7492757425668197,1.0,0.24812480178962246,True,False,False,Didn't Cha Know,Erykah Badu
460,0.7812808632677881,0.9573872067590541,0.6273447353288955,0.75,0.43078875214988027,True,False,False,Beige,Terrace Martin
1528,0.7811781542016678,0.917931179864212,0.8208158904707323,0.75,0.30366257450276857,False,True,False,Redbone,Childish Gambino
2408,0.7784599294941151,0.9342208872971633,0.8067474292276668,1.0,0.0,False,True,False,Frontin' (feat. JAY-Z) - Club Mix,Pharrell Williams
720,0.7723904844629936,0.8958501742946761,0.5464962346984192,0.75,0.6844410025064789,False,False,True,a lot,21 Savage
1567,0.7639533809267073,0.9442153844702286,0.5464962346984192,0.5,0.7169762783460613,False,False,True,Blue World,Mac Miller
3008,0.7568211324486512,0.905462319796948,0.615429309028834,0.75,0.4566940716294024,False,False,True,C U Girl,Steve Lacy
3844,0.7457970336182022,0.93528895466749,0.8607422277002345,0.25,0.4566940716294024,False,True,True,Afro Blue,Robert Glasper
5636,0.7443124262805355,0.9414913884828108,0.5464962346984192,0.5,0.5951165673296419,True,False,True,Lee & Lovie (with reggie),Smino
4067,0.7396759314559869,0.9390172852348603,0.8208158904707323,0.25,0.4566940716294024,True,True,False,act ii: date @ 8,4batz
1871,0.7365689102377343,0.9223417818944399,0.5464962346984192,0.5,0.6073251490055371,False,False,True,DEEP IN THE WATER,Don Toliver
4727,0.7327803665100981,0.9183357075183651,0.6505420100325268,0.5,0.4566940716294024,True,False,False,Self Control,Frank Ocean
1655,0.7326544557334839,0.9284374981407847,0.7849809886137968,0.5,0.24293005960221487,False,True,False,Big Poppa - 2007 Remaster,The Notorious B.I.G.
2523,0.7315694268323579,0.9299589085643618,0.615429309028834,0.5,0.4566940716294024,False,False,True,Out of Me Head,Steve Lacy
5042,0.7303491245456531,0.9550915337231182,0.5464962346984192,0.5,0.4566940716294024,True,False,False,LOVE. FEAT. ZACARI.,Kendrick Lamar
1029,0.7293066081900321,0.9307858925440055,0.8203427109299235,0.5,0.16563413154696466,False,True,False,That Girl,Pharrell Williams
3041,0.7291317049625482,0.9250834648247424,0.615429309028834,0.5,0.4566940716294024,False,False,True,Lemonhaze,PawPaw Rod
1775,0.7279599731829691,0.9200862849400735,0.8208158904707323,0.25,0.4416910174585725,False,True,False,Got It Like That,Cha Cha Malone
4947,0.7251641048701916,0.9447214943721949,0.5464962346984192,0.5,0.4566940716294024,True,False,False,Candy Paint,Post Malone
2711,0.7251149691453352,0.9290793825185593,0.5853558357082266,0.5,0.4566940716294024,False,True,False,gin and wine (ginuwine),tg.blk
2564,0.7247623240926869,0.9530749090528651,0.5236037941092208,0.5,0.4566940716294024,False,True,False,Ruthless,The Marías
2644,0.7244882187749464,0.911030321929514,0.6273447353288955,0.5,0.4566940716294024,False,False,True,Breakfast in Bed,Rayana Jay
4187,0.7240997452506558,0.9134922973214242,0.8067474292276668,0.25,0.4566940716294024,True,True,False,Prototype,Outkast
1912,0.7231720050078526,0.9424634081117677,0.6167076430056916,0.25,0.6073251490055371,False,False,True,This Time,Jeff Bernat
6741,0.7229403221480489,0.9456626168949288,0.6167076430056916,0.25,0.5951165673296419,False,False,True,Ghost in the Machine (feat. Phoebe Bridgers),SZA
1030,0.7224232552731048,0.9408656377791738,0.8067474292276668,0.25,0.35427300358656333,True,True,False,HOWLING,XG
279,0.7208614659525923,0.9413127880674615,0.4205314978401549,0.5,0.6073251490055371,True,False,True,Everything I Know About Love,Laufey
1245,0.7200727996047749,0.891061207259928,0.8208158904707323,0.25,0.48586011920442973,False,True,True,SNB,MIKNNA
407,0.7192075460573158,0.9543013212085908,0.8203427109299235,0.25,0.26992228844690536,True,True,False,Best Friend,Pharrell Williams
781,0.719060098191717,0.9243828603050792,0.8690964093188109,0.25,0.30366257450276857,False,True,False,Pick Up The Phone,Ciara
1664,0.7173098648216669,0.9456604011690156,0.8473983211857954,0.5,0.0,False,True,False,Crazy,Gnarls Barkley
1023,0.7171646204367603,0.9261938020403014,0.6273447353288955,0.25,0.6073251490055371,False,False,True,Better With You,Jeff Bernat
3155,0.7168304855416927,0.8957148554630067,0.6273447353288955,0.5,0.4566940716294024,False,False,True,In Limbo,Pale Jay
4385,0.7157745153589684,0.9259423153497486,0.5464962346984192,0.5,0.4566940716294024,True,False,False,Get It Together,Drake
1035,0.7156653687637232,0.9534783562951745,0.6167076430056916,0.25,0.5205644134333175,True,False,True,Put My Hands On You,DEAN
2824,0.7139854547416231,0.8942796307921491,0.6167076430056916,0.5,0.4566940716294024,False,False,True,Ocho Rios,Daniel Caesar
2303,0.7139692158782432,0.9308067697649083,0.7873915892412089,0.25,0.35725008765031596,False,True,False,Friday ya,Crush
1341,0.7138273523926237,0.8885958336964008,0.8208158904707323,0.5,0.20244171633517904,False,True,False,On Sight,Free Nationals
296,0.7128761075919601,0.9231647659482011,0.8412216922122215,0.25,0.30366257450276857,False,True,False,Running Through The Rain,YUGYEOM
1225,0.7128414237066865,0.9520682320966138,0.8067474292276668,0.25,0.2530521454189738,True,True,False,Best Lover,88rising
4870,0.711962525584871,0.9609789355493633,0.6273447353288955,0.25,0.4566940716294024,True,False,False,Skin,Dijon
1080,0.7117286193480421,0.9456880573131417,0.6273447353288955,0.25,0.5061042908379476,False,False,True,ONLY ONE,MIKNNA
2098,0.7116101989253896,0.9193397959468416,0.6167076430056916,0.25,0.6073251490055371,False,False,True,Just Be You (Feat. JINBO),Hoody
5334,0.7114639962270703,0.9477077746571546,0.6580299907704135,0.25,0.4566940716294024,True,False,False,LOVE AGAIN,Daniel Caesar
3138,0.7113452475898812,0.9170837798115741,0.5464962346984192,0.5,0.4566940716294024,False,False,True,Wait On You,Jay Worthy
5331,0.7102717257225767,0.8877469757605103,0.6144706354895562,0.5,0.4566940716294024,True,True,False,Apocalypse,Cigarettes After Sex
3159,0.7081854579831205,0.910642915480184,0.8208158904707323,0.5,0.09133881432588048,False,True,False,Matte Black UFO,Marigold
822,0.7078710143765915,0.9529812237463677,0.5888628368743284,0.25,0.5073855675236133,True,False,True,It′s been a while (Feat. Zion.T),Loco
1020,0.7074845710811939,0.9271873126092807,0.6167076430056916,0.5,0.30366257450276857,True,False,False,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis
5333,0.7074780018320846,0.9269341321360124,0.6167076430056916,0.5,0.3044627144196016,True,False,False,SLOW DANCING IN THE DARK,Joji
637,0.7074488303238456,0.9569983778060293,0.23972765338210328,0.75,0.4566940716294024,True,False,True,The Fate of Ophelia,Taylor Swift
135,0.7072912014725996,0.9131486402403203,0.7182527305135717,0.25,0.4637755683315011,False,True,True,Bawling,Primary
528,0.707209506157624,0.8996531471866229,0.8208158904707323,0.5,0.12146502980110743,False,True,False,Me and Your Mama,Childish Gambino
2089,0.7066861889145603,0.9094917759251828,0.6167076430056916,0.25,0.6073251490055371,False,False,True,Rendezvous,Jenevieve
1476,0.7060893139191875,0.9399574360529327,0.8412216922122215,0.25,0.20244171633517904,False,True,False,All About U (Feat. Loco),YUGYEOM
4673,0.7048373321493729,0.9509833856076487,0.6167076430056916,0.25,0.4566940716294024,True,False,False,Root of all Evil,Daniel Caesar
4407,0.7048373321493729,0.9509833856076487,0.6167076430056916,0.25,0.4566940716294024,True,False,False,Root of all Evil,Daniel Caesar
4636,0.7043160687724407,0.9368016706121779,0.8208158904707323,0.25,0.2283470358147012,False,True,False,Small Hours,Amber Navran
447,0.703527832055932,0.9216949183663522,0.6273447353288955,0.25,0.531409505379845,False,False,True,Nothin to Somethin,Syd
1241,0.7032860957357802,0.9121470629324369,0.8208158904707323,0.25,0.30366257450276857,False,True,False,ONE NIGHT THING,Nueve Lio
5220,0.7031975251296964,0.9311748324624067,0.6580299907704135,0.25,0.4566940716294024,True,False,False,Doc Whiler,Alex Banin
4461,0.703167082572417,0.9238707259261054,0.8473983211857954,0.25,0.2283470358147012,False,True,False,Who's Gonna Save My Soul - Original Mix,Gnarls Barkley
3010,0.7025693408190724,0.8995319662699565,0.5464962346984192,0.5,0.4566940716294024,False,False,True,Woods,Mac Miller
458,0.7024385750360462,0.9451798838418942,0.5464962346984192,0.5,0.30366257450276857,True,False,False,No Idea,Don Toliver
748,0.7019317347245622,0.8892868761368229,0.8203427109299235,0.5,0.12146502980110743,False,True,False,Get Up (feat. Chamillionaire),Ciara
3373,0.7017955605553703,0.9457251421319266,0.5464962346984192,0.5,0.29755828366482096,True,False,False,goosebumps,Travis Scott
1809,0.7001835802139196,0.9222300760558698,0.8203427109299235,0.5,0.0,False,True,False,Just the Way You Are,Bruno Mars
1595,0.7000846376094387,0.8962886733149398,0.6167076430056916,0.25,0.6073251490055371,False,False,True,Hit Different,SZA
1064,0.6999160633394161,0.9236575690348653,0.7182527305135717,0.25,0.3795782181284607,False,True,False,SUMMERIDE,Jay Park
3830,0.699076191746637,0.9229321656962882,0.6580299907704135,0.25,0.4566940716294024,True,False,True,RESTORE THE FEELING (feat. Sean Leon & Jacob Collier),Daniel Caesar
1736,0.6985455937307028,0.9106232187367254,0.5731760600575481,0.25,0.6073251490055371,False,False,True,The Nigga Ya Love To Hate,Ice Cube
1249,0.6979267728548534,0.8567946746208602,0.8208158904707323,0.5,0.20244171633517904,False,True,False,Terrified,Childish Gambino
328,0.6979188013566211,0.925581111514708,0.5326473662421831,0.25,0.6073251490055371,False,False,True,절대로 잊지 않아 I Never Forget,The Quiett
122,0.6962948490664439,0.948656576048194,0.77050151796035,0.25,0.20244171633517904,True,False,False,All Day,Dok2
809,0.6962528323194135,0.9286360653663037,0.8203427109299235,0.25,0.20244171633517904,False,True,False,Stay With Me,Pharrell Williams
5346,0.6954853563624426,0.912471491349887,0.6662274997154439,0.25,0.4566940716294024,True,False,False,Love Will Find a Way,Pharoah Sanders
1570,0.6950235039427411,0.9393712650378018,0.5747942677158792,0.25,0.48586011920442973,False,False,True,Mayday (Feat. Joy),Crush
4726,0.6949273087787184,0.956676715331101,0.5529242018437881,0.25,0.4566940716294024,True,False,False,Blue Hair,TV Girl
1186,0.6936223230251424,0.9253732327241015,0.7849809886137968,0.25,0.24293005960221487,False,True,False,Straight Outta Compton,N.W.A.
2986,0.6935057448831689,0.9088744053943684,0.8203427109299235,0.5,0.0,False,True,False,You Know What,N.E.R.D
1897,0.6934104582630701,0.9642428677502869,0.6411981910625572,0.25,0.30366257450276857,True,False,False,My Friend,CHUNG HA
168,0.6931822136113979,0.9623191826589149,0.5888628368743284,0.25,0.37833369938049854,True,False,False,센 척 (Prod. GRAY),pH-1
2101,0.6927493544664798,0.9357273881477892,0.5403077964899222,0.25,0.5288273406306717,False,False,True,PERFUME (Feat. Cha Cha Malone),sokodomo
