spotify_track_uri,track_name,artist_name,album_name,tags,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,key,mode,time_signature,track_id,artist_id
spotify:track:1cv5SZwknENyRdD1GKAAwz,DIVA,Isaiah Falls,DIVA,"['r&b', 'r&b, funk & soul', 'soul']",0.68,0.41,0.56,131.25,-10.47,0.63,0.03,0.06,0.1,7.0,0.0,4.0,23,831
spotify:track:6bQTdecTIAU8hMlbyUp2Xu,Long Way,Blxst,I'll Always Come Find You,"['hip hop', 'hip-hop & rap', 'r&b', 'r&b, funk & soul']",0.73,0.65,0.57,99.48,-5.8,0.37,0.0,0.33,0.28,1.0,0.0,4.0,24,263
spotify:track:0994zyvjadFAqOkl5ak8Uo,Is There Someone New?,Yung Bleu,Jeremy,"['r&b', 'r&b, funk & soul', 'soul']",0.7,0.59,0.5,150.05,-5.93,0.46,0.0,0.04,0.17,3.0,0.0,4.0,25,2076
spotify:track:3qeMtqV38UWPZfps7mPTUE,No.1 (feat. Tems),Tyla,TYLA,['pop'],0.88,0.77,0.43,121.02,-5.28,0.01,0.0,0.09,0.11,5.0,1.0,4.0,26,1968
spotify:track:6F4RYX8EbhdtCEuXCs7K3S,Havin or Not,LaRussell,Havin or Not,"['hip hop', 'hip-hop & rap']",0.89,0.8,0.71,110.07,-3.77,0.03,0.0,0.09,0.05,11.0,0.0,4.0,27,1088
spotify:track:5jgEJXjECdlhzNgfITSTVm,Just Friends (Sunny),Musiq Soulchild,Aijuswanaseing,"['pop', 'r&b', 'r&b, funk & soul', 'rock']",0.75,0.38,0.55,95.02,-7.56,0.4,0.0,0.2,0.36,0.0,1.0,4.0,28,1334
spotify:track:7xWGfBMNPTyZyGwKDlNgqB,Follow Me (feat. Ogi),Terrace Martin,Come As You Are,"['r&b', 'r&b, funk & soul', 'soul']",0.36,0.39,0.32,172.01,-10.61,0.45,0.0,0.22,0.24,5.0,0.0,4.0,29,1855
spotify:track:1SvET7grrtsHT0CkyJjJcZ,Is It a Crime,Sade,The Best of Sade,"['jazz', 'pop', 'r&b', 'r&b, funk & soul']",0.45,0.38,0.54,122.43,-10.4,0.22,0.0,0.03,0.18,5.0,0.0,3.0,30,1664
spotify:track:17F7aH5vOipO1sTkJwoCOI,ISSUES (Feat. Paloalto),pH-1,BUT FOR NOW LEAVE ME ALONE,"['hip hop', 'hip-hop & rap']",0.73,0.66,0.89,174.07,-5.88,0.37,0.14,0.25,0.13,1.0,1.0,4.0,31,2169
spotify:track:4vdlaDpH6liY6rZbuk6knK,Burning Rubber,Jordan Ward,JRNY,"['r&b', 'r&b, funk & soul']",0.79,0.81,0.96,134.97,-7.47,0.68,0.87,0.04,0.11,8.0,0.0,4.0,32,949
spotify:track:1UcbPy3MrLPE0wU9PYqX54,One Too Many Times,Jordan Ward,JRNY,"['asian', 'hip hop', 'hip-hop & rap', 'r&b', 'r&b, funk & soul']",0.58,0.54,0.58,157.04,-10.97,0.87,0.02,0.07,0.35,7.0,0.0,4.0,33,949
spotify:track:4ceQbaldGMXwkaio2O99ug,Jealousy,Jordan Ward,JRNY,"['rnb', 'soul', 'hip-hop', 'pop', 'usa', 'rap', 'lo fi', 'contemporary rnb']",,,,,,,,,,,,,34,949
spotify:track:0f839FtkHiHGzZQt2QVOjC,Dancing Alone,Chancellor,Chancellor,"['r&b', 'r&b, funk & soul']",0.73,0.6,0.61,100.03,-7.97,0.0,0.0,0.1,0.1,6.0,1.0,4.0,35,350
spotify:track:05u2T9tmi3u5ZYGZ1c2tuf,잠꼬대 (Sleep Talk) (Feat. 오혁 (OHHYUK)),Zion.T,ZZZ,"['asian', 'hip hop', 'hip-hop & rap', 'pop', 'k-pop']",0.87,0.5,0.85,122.02,-6.79,0.1,0.43,0.05,0.08,1.0,0.0,4.0,36,2096
spotify:track:1VREVb61J8aSWrT2sMrnfu,JULIETTE! (Feat. UMI),pH-1,BUT FOR NOW LEAVE ME ALONE,"['hip hop', 'hip-hop & rap']",0.84,0.45,0.55,157.96,-6.25,0.42,0.0,0.34,0.11,8.0,1.0,4.0,37,2169
spotify:track:2ZzrfN3WJf8oKopPshisl1,Her (Feat. Zion.T),SUMIN,City View / Her,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul']",0.85,0.76,0.97,95.99,-3.98,0.06,0.11,0.03,0.07,11.0,1.0,4.0,38,1653
spotify:track:6kvdVqG2lXPvBqwqh6aoKV,MR. BAD (Feat. Woo),pH-1,BUT FOR NOW LEAVE ME ALONE,"['hip hop', 'hip-hop & rap']",0.9,0.6,0.88,146.03,-7.64,0.34,0.0,0.31,0.09,0.0,1.0,4.0,39,2169
