cluster,valence,energy,danceability,tempo,user
0,0.245701804506638,0.3524100260834934,0.533950641342131,0.5074216987593897,riya
1,0.6641428178901204,0.5741656653983274,0.7192134565863274,0.5398674740023697,riya
2,0.30528630441570986,0.7401618364853166,0.65505083148696,0.5793826113821695,riya
3,0.027259137086387664,0.8325476479414391,0.19625603467585817,0.47234505974925967,riya
