user,91,955,abstract,acid,acoustic,adult,africa,african,afrobeat,afrobeats,afropop,age,all,alternative,ambient,america,american,amoeba,and,angeles,aomg,area,art,asian,at,atlanta,australian,avant,ballad,band,bap,bass,bay,beach,beats,bedroom,beer,belgium,better,bhangra,big,bitch,blues,boi,bollywood,boom,bossa,boy,brasil,brasilian,brazil,brazilian,breakcore,british,bronx,brostep,california,canadian,catchy,channel,chicago,children,chill,chillout,chinese,christian,classic,classical,cloud,club,coast,conscious,contemporary,core,country,crunk,culture,dance,dancehall,darkwave,deep,detroit,dirty,disco,disney,dj,dmx,don,doujin,downtempo,dream,drill,dub,dubstep,duo,dynamic,east,easy,edm,electro,electronic,electronica,electropop,eminem,emo,english,eskimo,experimental,f1,female,fi,filipino,film,first,fm,folk,folklore,frank,freestyle,french,funk,funk_add_to_lidarr_batch_12,funk_add_to_lidarr_batch_20,fusion,future,gabber,gangsta,garage,garde,german,germany,gigolo,girl,glitch,gomez,good,gospel,grime,groove,group,guitar,h1ghr,hard,hardcore,heavy,high,highgrnd,hindi,hip,hiphop,hit,hop,house,hwa,hyperpop,idm,in,india,indian,indie,indietronica,industrial,instrumental,international,itzy,iu,jamaica,jams,japan,japanese,jay,jazz,jyp,kanye,kendrick,khh,khiphop,kids,king,kingdom,korea,korean,kpop,krnb,lamar,latin,latino,lil,listen,listening,lo,long,los,lounge,love,madison,mafia,male,mamamoo,mandarin,mandopop,maryland,me,metal,miami,mind,music,musical,my,nacional,nas,neo,new,nigeria,nigerian,noise,nova,nu,oakland,of,ofwgkta,old,oldies,olivia,on,ongaku,ost,others,out,pakistan,pakistani,park,party,philadelphia,piano,pittsburgh,plugg,pop,post,power,progressive,psychedelia,psychedelic,psytrance,punjabi,punk,queer,r5,ragga,rap,rapper,red,reggae,reggaeton,rhythm,rihanna,rnb,rock,rockabilly,roll,romantic,russian,sa,sad,school,selena,sex,sexy,shoreline,singer,sleep,slow,smooth,smtm,songs,songwriter,sophisti,soul,soundtrack,south,southern,spanish,spirituals,states,stutter,summer,supreme,surf,sweet,swf,synth,synthpop,team,techno,than,the,theater,thrash,toliver,trance,trap,trip,tv,uk,underground,united,urban,urbano,usa,vaporwave,velvet,viet,vietnam,vietnamese,vocal,vocalist,vocalists,vocals,vpop,wayne,west,with,wkqi,wonder,world,worldwide,wsum,york,you,ysl
andy,0.0,0.0,0.0,0.0,0.001136046985855423,0.0,0.0,0.0010992945615368433,0.0004659142764653194,0.0006304889730572933,0.0006427642513994364,0.001205693468246405,0.0014615285717297908,0.02136921174349619,0.0013408987295336948,0.0005520736317903166,0.0024424878008793465,0.0002677684157263347,0.0005771346935067897,0.004098605987824773,0.0021251735562880097,0.0009124789036495148,0.0,0.12741450072489824,0.00045632717561357416,5.6969518149403886e-05,0.0002933723362015127,0.0,0.0007053456422591419,0.0004141885081989187,0.0,0.00039653539218797036,0.0009124789036495148,0.0004721954769229773,0.0012168850341426516,0.0007033103995202613,0.0006061113204924064,0.0,0.0,0.0,0.0004005939292784026,0.0005791033691788128,0.00208252649048956,0.0,0.0,0.0,0.0,0.0004141885081989187,0.0,0.00042924250118622006,0.0,0.0,0.0,0.00020787850105690524,0.0004753898211445179,0.0,0.0017186444981680245,0.0,0.0004579144674843005,0.0,0.0,0.0003633616285609839,0.0002580535074999907,0.0005207856995802257,0.0036819551101685936,0.0003365094461497182,0.0,0.0005214356008725257,0.00056009592136315,0.0007523582882713624,0.006576216750528491,0.00012565941455609426,0.0020945257239795216,0.0003842714616628257,0.0,5.8509659237970364e-05,0.0002677684157263347,0.024750959563865544,0.0,0.0,0.0,0.0,5.571113125318396e-05,0.007214492687742559,0.0,0.0,0.0,0.0002235783174413119,0.0002943625248922731,0.0002693843815974491,0.00024420601260410923,0.0,0.0,0.00023598553446538544,0.00024135945343078846,0.0002468112108559933,0.0019468149713987087,0.0,0.0,0.030519130022893512,0.02391284709302747,0.00025392783534721337,0.0,0.0,0.0,0.0003716588260897294,0.000790151376958519,0.000740726894091151,0.0002906390238649119,0.004301974407895074,0.0008053717673221693,0.0006103794264918787,0.001633866711663847,0.00045632717561357416,0.0,0.001228456277531376,0.0,0.0,0.00028898902076056196,0.0,0.1615329537152295,0.0007486750268842273,0.0,0.0005039829651355747,0.00028408125324510923,0.0,0.0023680261976011504,0.00012192824396394826,0.0,0.0009867469788173893,0.0001709614551347539,0.0,0.0005014335604386508,0.00015259629462888787,0.0,0.0,0.0,0.0001281059352026126,0.000967902443216847,0.0005014335604386508,0.00027131217239154213,0.002081708937140063,0.0025734049093607664,0.000265045548726069,0.0002805345109917676,0.00042303244001014935,0.0005846453616057604,0.0,0.24125009051278198,0.005286733681714826,0.00016556583343033097,0.24011963979842746,0.0009458729901137736,0.0002086989810512015,0.0,0.0,0.00021341819311296775,0.0,0.0,0.006156380118309214,0.0,0.0006298150667568504,0.0012055765912581606,0.0004678175220352373,0.0,0.00020258035777624196,0.0,0.00027999092820400593,0.0002881031341811436,0.0009590189437624093,0.001631156968063712,0.0176946966776569,0.0,0.0,0.0,0.0003977935771559734,0.0005468710581684453,0.0003633616285609839,0.0016110201852966455,0.0,0.003688893673291732,0.0166711667663583,0.004749986439369893,0.0020034381178883768,0.0,0.0017047338690228998,0.0,0.0,0.00044134951283526346,0.0,0.0008053717673221693,0.0004721954769229773,0.004098605987824773,0.0,0.0006378130123657811,0.0,0.0,0.0055103060871025695,0.0002086989810512015,0.0,0.0016143938265513736,0.0,0.0001753995978969729,0.004356327746104355,0.0,0.0,0.0022824048965947026,0.0,0.00018135196886907525,0.0,0.0004992797374876597,0.0006325876658234641,0.003103588446633822,0.0006304889730572933,0.0003256921274499366,0.0,0.0,0.0010919223084148476,0.00017701915247981102,0.0016403509437867055,0.0,0.0,0.0,0.00022850265443575114,0.0,0.0002943625248922731,0.005431713762747383,0.023411462297779986,0.00013303120372923396,0.0,0.0,0.001208961065353238,0.0,0.0,0.0,0.0,0.0,0.25559934519411714,0.0002933723362015127,0.0,0.0007921668121182928,0.0,0.00035541824817245267,0.0006468417872561639,0.0,0.0,0.0,0.0,0.0,0.12232345707738529,0.0,0.000393712544823786,0.0005325418931015394,0.0,0.00035549418912060875,0.0,0.02016664858154101,0.04351315367488703,0.0,0.0,0.0005509914499273638,0.0005120092966616906,0.0002086989810512015,0.0,0.0009242998221553847,0.0,0.0,0.0004202396827862144,0.0,0.0028172870234449833,0.0,0.0002726207684975722,0.0005733632644055185,0.0003811056759592998,0.0,0.0028224224391205865,0.0,0.20102810854759648,0.002282868378255841,0.0025875211698264387,0.00010929436058463045,0.00016018748515264817,0.0003365094461497182,0.0006302608446634117,0.0,0.0,0.0009537891198371471,0.0,0.0,0.0002086989810512015,0.0002795037647186311,0.0005229484585329748,0.0009537891198371471,0.0004540882183574279,0.0,0.00032637794976755576,0.0,0.0020180706675344694,0.0002235783174413119,0.00028934369271940567,0.00041869956816655343,0.0,0.0016747319756444782,0.00022782098023526456,0.0014952288107737998,0.0006234237745304531,0.00035473957870766276,0.0,0.0012091780199615053,0.00013729184687601915,0.000393712544823786,0.0007919312255969016,0.0007919312255969016,0.002362959108363667,0.00022850265443575114,0.0,0.008674027454611707,0.002081708937140063,0.001061467959954493,0.0,0.005256203831242202,0.0,0.0,0.0001480208592626815,0.0,0.023411462297779986,0.0,0.0009554836857568877,0.0,0.0
dishita,0.0005221267883331198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10356857874480441,0.0,0.0,0.0009472377399920837,0.0,0.0004923956999617145,0.0,0.0,0.0,0.0,0.003097033376131896,0.0,0.0013351001312896533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008159089408893084,0.0,0.0,0.0,0.0,0.0,0.00041647335724656035,0.0,0.0004028037845488516,0.0008056075690977032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01823588536648902,0.0,0.0,0.0,0.0,0.006403816244536659,0.0,0.0,0.0,0.0,0.01848770998785776,0.0,0.0,0.0,0.0,0.0,0.004265470088471413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03137239018081472,0.0226415320799263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011560170220165,0.0,0.0005221267883331198,0.009108233358524636,0.0,0.0,0.0,0.0,0.16165568745904033,0.0,0.0019431383007919207,0.001166614618301566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006280306445476438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17027257416411437,0.0,0.0,0.16918725309426544,0.002176059895209003,0.0,0.0,0.0,0.0,0.0,0.0,0.07378622010073468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006668981913382831,0.000583307309150783,0.0,0.16714219441815256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011634435602333455,0.0,0.003329499822096821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005221267883331198,0.0,0.0,0.0,0.0,0.0,0.0008303413210353687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041647335724656035,0.0,0.0006433012845660967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021517744289020397,0.005174229803155629,0.0,0.0,0.0,0.0,0.003329499822096821,0.0,0.0,0.0,0.0,0.11199906637546313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08701672521863384,0.0,0.0,0.0,0.0,0.0,0.0,0.0036581393056069407,0.08318363642729963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003920968399791759,0.0,0.0,0.0,0.0,0.0,0.003928115631300749,0.0,0.24658919807242338,0.0010744590367995153,0.0,0.0,0.0,0.0,0.0024247065160312603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002233435861250443,0.0,0.0,0.0,0.0,0.0,0.0,0.0035140024082424164,0.0,0.0,0.0,0.0,0.0023984032978600594,0.0,0.0,0.0021369717644170233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005174229803155629,0.0005221267883331198,0.0,0.0,0.001417726779007562
riya,0.000604598958999439,0.0002450011319329521,0.00016880951260378295,0.00043815911102851996,0.0002200992819832986,0.0,0.000257697310887028,0.0,0.0,0.0,0.0,0.0,0.0,0.21735764190813084,0.03001517102856811,0.0,0.000645399981118926,0.0,0.0003154192785088029,0.00019375347662983322,0.0,0.0,0.0008540704029487619,0.00321858684569988,0.0,0.0,0.00012590949417269658,0.00012029562313731482,0.0,0.00020341402119147,0.00031236894684579354,0.0012013300899050097,0.0,0.0,0.0,0.0011083893278379267,0.0,0.0,0.0,0.0,0.0,0.0,0.0047266388483642,0.0,0.00447083644352712,0.00031236894684579354,0.00022504315569418977,0.0,0.0,0.0,0.0,0.0,0.0011382993363628368,0.0007196575037314784,0.0,0.0011382993363628368,0.00018824128764730343,0.0,0.0,0.0,0.0,0.0003658108533632023,0.004233215170378694,0.0006436785552699743,0.0,0.0008954554748373423,0.00033536541668712476,0.0026018742314732426,0.0,0.0,0.0,0.0002996353613389536,0.0026456485569376314,0.0,0.003475086382772984,0.0,0.0,0.12145552223413685,0.0006303171987874091,0.0,0.0005195020439368217,0.0,0.0,0.0010938773451278408,0.0,0.0,0.0,0.0,0.0,0.0006535679297240122,0.001631665066034777,0.0,0.00038102578100065895,0.0035651350112861687,0.0,0.0,0.0,0.0,0.00044056582899434254,0.17440170907825622,0.14769730909929565,0.0021913330534779852,0.00048566251202424216,0.0,0.0,0.00027743745837069406,0.0,0.00021732477999693547,0.0,0.0008391820807930408,0.0005058373624834694,0.0,0.005566209211052255,0.0,0.000604598958999439,0.018735185195766148,0.0002099148675657314,0.0,0.0,0.0,0.08002934687375518,0.0,0.0,0.0004336012190441798,0.0002957859522649827,0.0,0.0,0.0007828798832887485,0.00012029562313731482,0.00027066794211048374,0.0,0.0,0.0,0.0,0.0,0.0,0.0003387917778503157,0.0005722467340107508,0.0002901371395224516,0.0,0.00022656932862145365,0.0,0.0,0.00014333164296937746,0.0,0.0,0.0,0.0,0.04832133387145491,0.0,0.0,0.04979522027728722,0.015070944642309573,0.0,0.0,0.0,0.0,0.0,0.0014950030852396213,0.05618102520076484,0.0011257450129193599,0.00015647162180098162,0.000309457880651846,0.0006638827489892609,0.0,0.0,0.0002263768294252058,0.0,0.0,0.0,0.00021134689992253366,0.01610727481889757,0.0,0.0,0.0,0.0,0.0,0.0003658108533632023,0.0,0.0006213876189747219,0.0,0.0,0.0,0.0,0.0,0.0001951756173036008,0.0,0.0,0.0,0.0,0.0003427853343205301,0.0,0.00019375347662983322,0.004313784362088544,0.0,0.000604598958999439,0.0,0.0001483177671167954,0.0,0.0,0.0,0.0,0.0,0.0026577359447194863,0.00019425114208255852,0.0002450011319329521,0.0011215271977002127,0.0010651135577573912,0.0,0.0,0.0,0.001051354337515257,0.0,0.0,0.0,0.0,0.00022504315569418977,0.0,0.0,0.00021758435380901209,0.0,0.00031581995803339573,0.0,0.00022504315569418977,0.0,0.0,0.012423869760634823,0.0023676710219992596,0.004233215170378694,0.0,0.0,0.0,0.0,0.0,0.0,0.000363868732298785,0.0,0.147036239626017,0.0,0.0,0.00010252242969368794,0.0006915721993087506,0.0007900796232184433,0.0,0.0,0.00015647162180098162,0.0002868525921200291,0.0,0.0006303171987874091,0.02461915319001705,0.0,0.0,0.0020555075673558618,0.0,0.0,0.0,0.0007962452682547948,0.11950813918984975,0.00028168470932152603,0.0002742699644657664,0.0,0.0,0.0,0.0,0.00028929842323116047,0.0,0.00020341402119147,0.00018732753232334303,0.0,0.012376164368310124,0.00101917318039128,0.0,0.00022504315569418977,0.0,0.0,0.012398723925775143,0.0011083893278379267,0.09998316351843105,0.007872255445624674,0.00021037793252765667,0.0,0.00027678171118888814,0.0008954554748373423,0.0002703857488381527,0.00011349386403856667,0.00020341402119147,0.0,0.0,0.0,0.0,0.0,0.00017701369602126532,0.0,0.012888097407796083,0.0,0.0,0.0010651135577573912,0.0,0.0,0.0003336255615080615,0.0005021277115402358,0.005259337457910245,0.0,0.0015699503812884965,0.0006369585307018574,0.0007848838004141094,0.0,0.0,0.0003012882132324582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008954202511992628,0.0,0.0,0.0,0.0,0.0,0.0002450011319329521,0.0,0.0,0.0023676710219992596,0.000604598958999439,0.0,0.0,0.0
priyanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033416846747197273,0.0,0.0,0.0,0.0,0.0,0.09643704448255909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03783962170178537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001980679512075449,0.0,0.0,0.0036076487506416207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004625613060358956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025394939779992336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039181169799201625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020285979480170954,0.0,0.0,0.0,0.04010954246920196,0.0,0.0,0.04002824047784236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005119260427593781,0.05086763930187452,0.04163917851242105,0.0,0.002618688683508077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009361071426117024,0.0,0.0,0.01211524236408824,0.0,0.0,0.0029875706285524104,0.002325389972650734,0.11365697699577974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021414923254286225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326386443363474,0.0023084354832890275,0.0,0.15228695724741934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112201408011651,0.0,0.0,0.006583630612241239,0.0048178076565510985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039181169799201625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03547093228306269,0.017038458671408102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031106911322943656,0.003520613483615562,0.003539736715362655,0.0031106911322943656,0.0,0.0,0.0022386297326803957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031106911322943656,0.0,0.01742440962219383,0.03207311342549654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2435702797669863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07682808262973241,0.0,0.0,0.011746286851989493,0.0,0.0,0.0,0.0,0.1450562786264133,0.003717547720701954,0.0036196912630173717,0.0,0.0,0.0,0.0,0.0,0.0021414923254286225,0.0,0.0,0.0,0.0076840913432842895,0.0,0.0,0.0,0.0,0.0,0.007698098081968945,0.0,0.14501588446140834,0.008700639866333735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028895119816163004,0.0,0.0,0.0,0.0,0.0036076487506416207,0.003539736715362655,0.0,0.0,0.0,0.0016812884006327721,0.0,0.0,0.0,0.0,0.0,0.0,0.017038458671408102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021915401273054722,0.0,0.0,0.0,0.0,0.03207311342549654,0.0,0.0,0.0,0.0
