track_id,track_name,artist_name,artist_id,hybrid_score,s_content,s_collab,w_content,w_collab,pre_score,from_content,from_tag,from_neighbor,long_term_sim,tag_cosine,mood_sim,cluster_tag_sim,tag_jaccard,group_listener_count,group_avg_ms,group_skip_rate,weighted_nbr_avg_ms,recent_skip_pct,recent_avg_valence,recent_avg_energy,valence_delta,energy_delta,tod_morning,tod_afternoon,tod_evening,tod_night,platform_mobile,platform_desktop
5768,Charcoal Baby,Blood Orange,255,0.7190068184589962,0.820612105111767,0.3125856718479127,0.8,0.2,0.6927162920104729,False,True,False,0.9055170609080672,0.824788807782197,0.6781563782130646,0.807480965108253,0.6,2.0,121507.16666666667,0.5,673.3333333333334,0.7675,0.434,0.5920000000000001,0.07600000000000001,0.13200000000000006,0,0,0,0,0,0
1734,My Heart Belongs To U,Jodeci,930,0.6923786406439293,0.7741421777949091,0.3653244920400096,0.8,0.2,0.7138145794895391,False,True,False,0.929508202002965,0.7970512627760734,0.6409169760609182,0.6539545871680882,0.3333333333333333,1.0,217151.7142857143,0.2857142857142857,217151.7142857143,0.7675,0.434,0.5920000000000001,0.0040000000000000036,0.08200000000000007,0,0,0,0,0,0
4195,I'm Not In Love,10cc,5,0.6909948542377821,0.7667916998648514,0.3878074717295044,0.8,0.2,0.6796856637200045,True,True,False,0.9268944341345611,0.89369223326362,0.46470201915207887,0.6977386540671888,0.6,1.0,366640.0,0.0,0.0,0.7675,0.434,0.5920000000000001,0.274,0.07200000000000006,0,0,0,0,0,0
5290,Ritual Union,Little Dragon,1148,0.6802801783366255,0.8246482712892955,0.10280780652594501,0.8,0.2,0.6706328913813787,False,True,False,0.9243431490292239,0.8548065843338342,0.6399114155962551,0.737616032021815,0.6,1.0,70555.16666666667,0.6666666666666666,0.0,0.7675,0.434,0.5920000000000001,0.36600000000000005,0.1479999999999999,0,0,0,0,0,0
1772,Beat Take 1 (feat. Ghostface Killah),The Neighbourhood,1893,0.675164473750264,0.7914148845187858,0.21016283067617653,0.8,0.2,0.6487297215784903,False,True,False,0.8805368094234469,0.8548065843338342,0.6850223941637108,0.737616032021815,0.6,1.0,9920.0,0.0,9920.0,0.7675,0.434,0.5920000000000001,0.08400000000000002,0.027999999999999914,0,0,0,0,0,0
3027,Buzzed,¿Téo?,2207,0.6698512607163754,0.7464230251284419,0.36356420306810905,0.8,0.2,0.7544566381679275,True,False,True,0.9502894059716351,0.7796747272068104,0.5276945137438992,0.6265964403833435,0.3333333333333333,1.0,159656.0,0.0,159656.0,0.7675,0.434,0.5920000000000001,0.064,0.1120000000000001,0,0,0,0,0,0
6087,Kill Us All (feat. Denzel Curry),The Neighbourhood,1893,0.6695403363475385,0.7868211797064693,0.20041696291181493,0.8,0.2,0.6735988586817788,False,True,False,0.930275083630024,0.8548065843338342,0.5197019130690188,0.737616032021815,0.6,1.0,407.0,0.0,407.0,0.7675,0.434,0.5920000000000001,0.033999999999999975,0.04799999999999993,0,0,0,0,0,0
6268,"New Person, Same Old Mistakes",Tame Impala,1840,0.6640516978930092,0.829856140860354,0.0008339260236298256,0.8,0.2,0.6863468407738649,True,True,False,0.9557710478141961,0.8548065843338342,0.5573143513812866,0.737616032021815,0.6,1.0,814.0,1.0,814.0,0.7675,0.434,0.5920000000000001,0.055999999999999994,0.21799999999999997,0,0,0,0,0,0
1546,Champagne Coast,Blood Orange,255,0.663301873059702,0.7711278579556122,0.23199793347606104,0.8,0.2,0.6921102049682252,False,True,False,0.9344552495941363,0.7494129008557853,0.5704236176665148,0.6788647904206725,0.6,2.0,38451.75,0.75,24015.0,0.7675,0.434,0.5920000000000001,0.326,0.1820000000000001,0,0,0,0,0,0
3222,Lights,Eggshells,569,0.6605758253534268,0.7180439247664087,0.4307034277014991,0.8,0.2,0.7063080226035122,False,True,False,0.9006796045100871,0.6629561530386038,0.6934221599346286,0.622879142960778,0.3333333333333333,1.0,225191.0,0.0,225190.99999999997,0.7675,0.434,0.5920000000000001,0.16599999999999998,0.03200000000000003,0,0,0,0,0,0
